Client,Validation Accuracy
client 1,0.907600
client 1,0.935000
client 1,0.891500
client 1,0.948900
client 1,0.958500
client 1,0.923700
client 1,0.968500
client 1,0.960400
client 1,0.938900
client 1,0.932800
client 1,0.965300
client 1,0.923700
client 1,0.954200
client 1,0.966700
client 1,0.952600
client 2,0.967400
client 2,0.942200
client 2,0.954300
client 3,0.963400
client 3,0.965600
client 3,0.956300
client 3,0.966200
client 3,0.949600
client 3,0.961000
client 3,0.963200
client 3,0.946900
client 3,0.963000
client 3,0.964500
client 3,0.932600
client 3,0.960800
client 5,0.960200
client 5,0.928100
client 5,0.960500
client 5,0.960700
client 5,0.958100
client 5,0.955100
client 5,0.961200
client 5,0.948000
client 5,0.961300
client 5,0.929300
client 5,0.965100
client 5,0.929400
client 5,0.939000
client 5,0.942000
client 5,0.965600
