User,Throughput
151.17,2.50528
90.04,2.4336
51.55,1.989867
66.43,52.5557
154.13,1.0
91.84,3.14016
151.17,2.71008
90.04,88.544
51.55,1.0
66.43,2.55307
154.13,20.2332
91.84,4.1504
151.17,1.0
90.04,0.0
51.55,0.0
66.43,0.0
154.13,0.0
91.84,1.19808
151.17,0.0
90.04,0.0
51.55,0.0
66.43,0.8192
154.13,0.0
91.84,0.0112267
151.17,1.53259
90.04,62.7883
51.55,0.0
66.43,0.0
154.13,0.0
91.84,9.57099
151.17,10.2315
90.04,0.0
51.55,1.4848
66.43,0.00173333
154.13,0.0
91.84,0.0
151.17,10.2349
90.04,0.0
51.55,49.2715
66.43,0.0
154.13,0.0
91.84,0.0
151.17,10.2349
90.04,15.5648
51.55,102.349
66.43,4.26667
154.13,10.2349
91.84,10.2366
151.17,4.64213
90.04,4.48853
51.55,5.3248
66.43,102.349
154.13,10.2349
91.84,10.2349
151.17,9.83381
90.04,1.62133
51.55,1.4848
66.43,1.60427
154.13,1.51381
91.84,1.5872
