User,Delay
125.49,0.0
100.67,0.0
96.54,0.0
87.12,0.0
64.88,0.0
116.1,0.0
58.45,0.0
20.92,0.0
145.77,0.0
146.08,0.0
,0.293756
,0.0
,0.0
,0.000569368
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
125.49,0.349691
100.67,0.0
96.54,0.0
87.12,0.0
64.88,0.0
116.1,0.289005
58.45,0.0
20.92,0.0
145.77,0.0
146.08,0.346408
,0.193988
,0.417318
,0.000611324
,0.0
,0.0
,0.438571
,0.0
,0.0
,0.0
,0.0
125.49,0.0
100.67,0.0
96.54,0.0
87.12,0.0
64.88,0.304548
116.1,0.342724
58.45,0.0
20.92,0.000537766
145.77,0.00054895
146.08,0.0
,0.0
,0.0
,0.0
,0.273824
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
125.49,0.0
100.67,0.0
96.54,0.0
87.12,0.0
64.88,0.0
116.1,0.0
58.45,0.0
20.92,0.0
145.77,0.0
146.08,0.0
,0.0
,0.0
,0.347626
,0.283051
,0.0
,0.301628
,0.263491
,0.0
,0.0
,0.0
125.49,0.0
100.67,0.0
96.54,0.0
87.12,0.0
64.88,0.0
116.1,0.0
58.45,0.0
20.92,0.0
145.77,0.360973
146.08,0.0
,0.0
,0.0
,0.0
,0.0
,0.32714
,0.0
,0.0
,0.0
,0.0
,0.0
125.49,0.0
100.67,0.28287
96.54,0.0
87.12,0.293294
64.88,0.0
116.1,0.0
58.45,0.000579836
20.92,0.000616078
145.77,0.0
146.08,0.329018
,0.0
,0.000574461
,0.0
,0.0
,0.305513
,0.0
,0.0
,0.0
,0.0
,0.0
125.49,0.0
100.67,0.0
96.54,0.0
87.12,0.0
64.88,0.302154
116.1,0.285432
58.45,0.0
20.92,0.0
145.77,0.000583383
146.08,0.0
,0.286535
,0.0
,0.0
,0.000555292
,0.0
,0.0
,0.225583
,0.0
,0.0
,0.0
125.49,0.0
100.67,0.301293
96.54,0.0
87.12,0.0
64.88,0.24176
116.1,0.000741181
58.45,0.0
20.92,0.000597999
145.77,0.283776
146.08,0.325212
,0.0
,0.000572208
,0.0
,0.34074
,0.215375
,0.0
,0.0
,0.0
,0.0
,0.0
125.49,0.303724
100.67,0.0
96.54,0.289221
87.12,0.0
64.88,0.0
116.1,0.00494709
58.45,0.0
20.92,0.326638
145.77,0.0
146.08,0.0
,0.300571
,0.338156
,0.000686395
,0.000677467
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
125.49,0.0
100.67,0.0
96.54,0.301956
87.12,0.0
64.88,0.0
116.1,0.0
58.45,0.282805
20.92,0.282593
145.77,0.0
146.08,0.000651827
,0.188512
,0.347966
,0.000616908
,0.00060798
,0.0
,0.280864
,0.0
,0.0
,0.0
,0.0
125.49,0.017408
100.67,0.0
96.54,0.0
87.12,0.0
64.88,0.0
116.1,0.285897
58.45,0.315611
20.92,0.0
145.77,0.0
146.08,0.0
,0.0
,0.0
,0.0
,0.0
,0.2503
,0.0
,0.278904
,0.0
,0.0
,0.0
125.49,0.0
100.67,0.0
96.54,0.0
87.12,0.0
64.88,0.0
116.1,0.0
58.45,0.0
20.92,0.0
145.77,0.314764
146.08,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.250006
,0.0
,0.0
,0.0
125.49,0.0
100.67,0.297557
96.54,0.0
87.12,0.291425
64.88,0.0
116.1,0.0
58.45,0.0
20.92,0.0
145.77,0.0007021
146.08,0.00068104
,0.302514
,0.0
,0.000670067
,0.000646612
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
125.49,0.229334
100.67,0.0
96.54,0.0
87.12,0.0
64.88,0.303285
116.1,0.0
58.45,0.215301
20.92,0.0
145.77,0.000696614
146.08,0.0
,0.0
,0.0
,0.0
,0.0
,0.239045
,0.21957
,0.0
,0.0
,0.0
,0.0
125.49,0.0
100.67,0.0
96.54,0.0
87.12,0.386385
64.88,0.314082
116.1,0.000625596
58.45,0.336497
20.92,0.0
145.77,0.000560548
146.08,0.282656
,0.321381
,0.00053934
,0.282807
,0.373045
,0.213049
,0.21304
,0.0
,0.0
,0.0
,0.0
125.49,0.210711
100.67,0.27307
96.54,0.0
87.12,0.0
64.88,0.0
116.1,0.338446
58.45,0.000600756
20.92,0.281246
145.77,0.336805
146.08,0.332073
,0.269437
,0.28413
,0.0
,0.000627388
,0.0
,0.287175
,0.306415
,0.0
,0.0
,0.0
125.49,0.0
100.67,0.0
96.54,0.0
87.12,0.0
64.88,0.0
116.1,0.000707829
58.45,0.29164
20.92,0.0
145.77,0.0
146.08,0.318013
,0.0
,0.232605
,0.0
,0.362631
,0.0
,0.0
,0.217971
,0.0
,0.0
,0.0
125.49,0.31131
100.67,0.302477
96.54,0.0
87.12,0.0
64.88,0.0
116.1,0.0
58.45,0.29146
20.92,0.000591165
145.77,0.0
146.08,0.000607417
,0.18651
,0.0
,0.0
,0.0
,0.0
,0.360426
,0.21551
,0.0
,0.0
,0.0
125.49,0.0
100.67,0.0
96.54,0.0
87.12,0.0
64.88,0.152383
116.1,0.28641
58.45,0.000574098
20.92,0.000566234
145.77,0.357386
146.08,0.000603026
,0.0
,0.000651115
,0.000541237
,0.0
,0.216131
,0.0
,0.0
,0.317767
,0.291973
,0.0
125.49,0.0
100.67,0.0
96.54,0.0
87.12,0.304822
64.88,0.0
116.1,0.000926901
58.45,0.0214039
20.92,0.000651038
145.77,0.000645534
146.08,0.0
,0.0
,0.0
,0.000615303
,0.358659
,0.0
,0.305473
,0.246372
,0.0
,0.0
,0.477046
