NodeType,NodeId,X,Y,Z,DistanceFromBSS
gNB,0,0,0,0,0
UE,1,98.2139,146.592,1.5,176.458
UE,2,39.2414,115.907,1.5,122.379
UE,3,52.1933,129.238,1.5,139.387
UE,4,15.467,19.437,1.5,24.8852
UE,5,120.115,143.5,1.5,187.142
UE,6,109.663,51.3848,1.5,121.114
UE,7,108.971,95.5531,1.5,144.939
UE,8,20.6494,23.1675,1.5,31.0706
UE,9,91.9371,12.8954,1.5,92.8491
UE,10,48.6642,35.0646,1.5,59.9998
UE,11,123.545,98.9834,1.5,158.314
UE,12,13.7481,7.14925,1.5,15.5683
UE,13,55.3209,141.292,1.5,151.743
UE,14,25.3793,19.4129,1.5,31.9878
UE,15,86.4581,35.4538,1.5,93.4571
UE,16,29.3688,58.4667,1.5,65.4457
UE,17,107.173,5.57599,1.5,107.328
UE,18,41.3435,135.324,1.5,141.507
UE,19,128.372,134.367,1.5,185.839
UE,20,115.062,26.5766,1.5,118.101
