User,Delay,Throughput,EnergyConsumption,LostPackets,DeviceType,Distance
1,0.000271498,10.2366,199.728,2,IoT,63.2025
2,0.000341113,10.2349,549.167,3,IoT,104.801
3,0.0974196,69.3248,1798.17,1938,Smartphone,189.64
4,0.000383621,102.349,1081.85,3,Smartphone,147.095
1,0.000349403,10.2349,102.123,3,IoT,45.1935
2,0.000372343,10.2349,982.808,3,IoT,140.2
3,0.264005,10.8032,696.601,5367,Smartphone,118.034
4,0.0520175,83.9509,754.492,1081,Smartphone,122.841
1,0.000271498,10.2366,547.38,2,IoT,104.631
2,0.000275968,10.2366,472.23,2,IoT,97.1833
3,0.000298555,102.349,350.78,3,Smartphone,83.7592
4,0.000367716,102.349,673.935,3,Smartphone,116.098
1,0.000271498,10.2366,329.849,2,IoT,81.2218
2,0.000275967,10.2366,53.053,2,IoT,32.5739
3,0.000285007,102.366,1117.47,2,Smartphone,149.497
4,0.000293941,102.349,1252.06,3,Smartphone,158.244
1,0.00251905,10.2349,776.083,3,IoT,124.586
2,0.000388546,10.2332,268.474,4,IoT,73.2768
3,0.000308571,102.349,563.453,3,Smartphone,106.156
4,0.000321587,102.349,119.615,3,Smartphone,48.9112
1,0.00027262,10.2366,627.216,2,IoT,112.001
2,0.00027604,10.2366,42.797,2,IoT,29.2565
3,0.000285098,102.366,113.157,2,Smartphone,47.5726
4,0.201346,33.8773,1620.13,4015,Smartphone,180.007
1,0.000272175,10.2366,581.471,2,IoT,107.84
2,0.000276876,10.2366,1276.78,2,IoT,159.798
3,0.201598,33.6043,701.453,4031,Smartphone,118.444
4,0.000328464,102.349,111.582,3,Smartphone,47.2401
1,0.000330787,10.2332,601.391,4,IoT,109.671
2,0.000281723,10.2366,829.983,2,IoT,128.84
3,0.000760446,102.229,383.359,10,Smartphone,87.5625
4,0.000327263,102.349,602.535,3,Smartphone,109.776
1,0.000271498,10.2366,404.182,2,IoT,89.9091
2,0.00028937,10.2349,23.032,3,IoT,21.4625
3,0.000298398,102.349,986.952,3,Smartphone,140.496
4,0.000307331,102.349,366.268,3,Smartphone,85.5883
1,0.000316103,10.2349,1344.6,3,IoT,163.988
2,0.000282214,10.2366,209.21,2,IoT,64.6854
3,0.000291259,102.349,1269.49,3,Smartphone,159.341
4,0.086103,73.1648,1707.71,1713,Smartphone,184.809
1,0.00027596,10.2366,882.363,2,IoT,132.843
2,0.000280428,10.2366,1305.37,2,IoT,161.578
3,0.0870092,72.8235,309.813,1733,Smartphone,78.7163
4,0.110438,64.8363,984.249,2201,Smartphone,140.303
1,0.000339321,10.2349,1576.27,3,IoT,177.554
2,0.00028489,10.2366,991.332,2,IoT,140.807
3,0.126729,59.2896,218.019,2526,Smartphone,66.0332
4,0.121641,61.0133,1069.65,2425,Smartphone,146.264
1,0.000272468,10.2366,357.715,2,IoT,84.5831
2,0.000320862,10.2349,1432.17,3,IoT,169.243
3,0.176906,42.1205,1200.75,3532,Smartphone,154.968
4,0.25234,16.3669,1700.99,5041,Smartphone,184.444
1,0.000271498,10.2366,922.658,2,IoT,135.842
2,0.000275968,10.2366,585.295,2,IoT,108.194
3,0.0003587,102.349,719.346,3,Smartphone,119.945
4,0.000323323,102.349,571.251,3,Smartphone,106.888
1,0.000364898,10.2315,333.406,5,IoT,81.6586
2,0.0972954,7.0912,276.512,1845,IoT,74.3655
3,0.057204,82.944,1547.21,1140,Smartphone,175.91
4,0.250802,16.9813,552.376,5005,Smartphone,105.107
