User,Train Accuracy,Validation Accuracy,Timestamp,Percentage
151.17,0.7984,0.9671,2024-12-01 23:33:20,2.17
66.43,0.32025,0.9202,2024-12-02 01:02:40,0.87
154.13,0.65075,0.9628,2024-12-02 02:21:02,1.77
51.55,0.7733166666666667,0.9642,2024-12-02 03:37:29,2.1
151.17,0.7296833333333334,0.9617,2024-12-02 04:54:49,1.98
91.84,0.43095,0.934,2024-12-02 13:57:12,1.17
151.17,0.6564333333333333,0.9591,2024-12-02 15:33:32,1.78
91.84,0.3985166666666667,0.9379,2024-12-02 17:33:29,1.08
51.55,0.5811166666666666,0.9516,2024-12-02 19:00:55,1.58
90.04,0.7443166666666666,0.9597,2024-12-02 20:26:53,2.02
154.13,0.7181333333333333,0.965,2024-12-02 21:59:29,1.95
151.17,0.7772666666666667,0.9667,2024-12-02 23:17:27,2.11
51.55,0.4195833333333333,0.9279,2024-12-03 08:33:30,1.14
151.17,0.6324666666666666,0.9576,2024-12-03 09:44:40,1.72
51.55,0.3701166666666666,0.9308,2024-12-03 13:30:28,1.01
66.43,0.6146666666666667,0.9631,2024-12-03 14:45:13,1.67
154.13,0.6983166666666667,0.9654,2024-12-03 16:21:59,1.9
90.04,0.7289833333333333,0.9621,2024-12-03 17:56:30,1.98
151.17,0.7781166666666667,0.962,2024-12-03 19:17:45,2.11
91.84,0.44555,0.9405,2024-12-04 20:16:48,1.21
151.17,0.5455666666666666,0.9464,2024-12-04 21:30:21,1.48
90.04,0.4657666666666666,0.9473,2024-12-05 09:22:47,1.26
91.84,0.5779833333333333,0.9529,2024-12-05 11:17:13,1.57
154.13,0.4660666666666667,0.9366,2024-12-05 14:55:21,1.27
66.43,0.5247666666666667,0.9539,2024-12-05 16:59:39,1.43
151.17,0.6801,0.9629,2024-12-05 18:32:27,1.85
154.13,0.43335,0.9458,2024-12-05 22:06:58,1.18
66.43,0.603,0.9573,2024-12-05 23:29:59,1.64
51.55,0.4478166666666666,0.9382,2024-12-06 09:20:58,1.22
154.13,0.6467333333333334,0.9608,2024-12-06 10:42:45,1.76
90.04,0.7004166666666667,0.9674,2024-12-06 12:03:12,1.9
66.43,0.7253666666666667,0.9617,2024-12-06 13:26:37,1.97
91.84,0.764,0.9731,2024-12-06 14:45:40,2.07
151.17,0.7526166666666667,0.9655,2024-12-06 16:05:44,2.04
51.55,0.3755833333333333,0.9275,2024-12-06 19:34:13,1.02
91.84,0.6916833333333333,0.9605,2024-12-06 20:55:29,1.88
66.43,0.7185,0.9662,2024-12-06 22:19:15,1.95
90.04,0.3562166666666667,0.9171,2024-12-07 12:34:40,0.97
51.55,0.6286,0.9554,2024-12-07 13:58:18,1.71
154.13,0.7209333333333333,0.9537,2024-12-07 15:25:43,1.96
151.17,0.7410666666666667,0.9659,2024-12-07 17:07:20,2.01
91.84,0.42965,0.9394,2024-12-07 20:09:12,1.17
66.43,0.6587166666666666,0.963,2024-12-07 21:35:25,1.79
151.17,0.6751166666666667,0.9622,2024-12-07 23:15:26,1.83
154.13,0.39815,0.9289,2024-12-08 20:53:37,1.08
154.13,0.3831333333333333,0.928,2024-12-09 14:08:17,1.04
90.04,0.6736833333333333,0.9645,2024-12-09 16:15:59,1.83
66.43,0.6312666666666666,0.9559,2024-12-09 18:55:25,1.71
51.55,0.7269333333333333,0.9535,2024-12-09 20:59:49,1.97
91.84,0.77685,0.9688,2024-12-09 22:48:22,2.11
151.17,0.39055,0.9396,2024-12-10 10:25:04,1.06
51.55,0.4781833333333333,0.9438,2024-12-10 14:17:23,1.3
154.13,0.5853,0.9605,2024-12-10 16:08:14,1.59
151.17,0.6800166666666667,0.9413,2024-12-10 17:59:34,1.85
51.55,0.47645,0.9478,2024-12-10 20:35:50,1.29
151.17,0.5864333333333334,0.9547,2024-12-10 22:27:00,1.59
90.04,0.44825,0.947,2024-12-11 08:45:55,1.22
154.13,0.5947,0.9552,2024-12-11 10:07:41,1.61
66.43,0.6027,0.9659,2024-12-11 12:07:43,1.64
151.17,0.7518333333333334,0.9708,2024-12-11 13:36:26,2.04
51.55,0.4114,0.9412,2024-12-11 17:44:17,1.12
151.17,0.6317166666666667,0.9543,2024-12-11 19:30:18,1.72
