User,Delay,Percentage
151.17,0.256575,3.42
90.04,0.351041,4.68
51.55,0.320623,4.28
66.43,0.222559,2.97
154.13,0.0,0.0
91.84,0.237777,3.17
151.17,0.25208,3.36
90.04,0.171159,2.28
51.55,0.0,0.0
66.43,0.306909,4.09
154.13,0.000622978,0.01
91.84,0.255931,3.41
151.17,0.0,0.0
90.04,0.0,0.0
51.55,0.0,0.0
66.43,0.0,0.0
154.13,0.0,0.0
91.84,0.266014,3.55
151.17,0.0,0.0
90.04,0.0,0.0
51.55,0.0,0.0
66.43,0.318765,4.25
154.13,0.0,0.0
91.84,0.387104,5.16
151.17,0.265812,3.54
90.04,0.118451,1.58
51.55,0.0,0.0
66.43,0.0,0.0
154.13,0.0,0.0
91.84,0.0220126,0.29
151.17,0.000561442,0.01
90.04,0.0,0.0
51.55,0.298163,3.98
66.43,0.566733,7.56
154.13,0.0,0.0
91.84,0.0,0.0
151.17,0.000542246,0.01
90.04,0.0,0.0
51.55,0.156493,2.09
66.43,0.0,0.0
154.13,0.0,0.0
91.84,0.0,0.0
151.17,0.000402139,0.01
90.04,0.254895,3.4
51.55,0.000421274,0.01
66.43,0.288919,3.85
154.13,0.000426689,0.01
91.84,0.000339164,0.0
151.17,0.164554,2.19
90.04,0.286669,3.82
51.55,0.283532,3.78
66.43,0.000440015,0.01
154.13,0.000347782,0.0
91.84,0.000348504,0.0
151.17,0.0124937,0.17
90.04,0.298583,3.98
51.55,0.30172,4.02
66.43,0.318116,4.24
154.13,0.256947,3.43
91.84,0.254551,3.39
