User,EnergyConsumption,Percentage
151.17,1426.21,3.0
90.04,1074.22,2.26
51.55,446.788,0.94
66.43,1602.7,3.37
154.13,1083.95,2.28
91.84,32.0809,0.07
151.17,1166.35,2.45
90.04,700.475,1.47
51.55,702.302,1.48
66.43,1162.0,2.44
154.13,207.112,0.44
91.84,569.953,1.2
151.17,1434.13,3.01
90.04,928.696,1.95
51.55,451.401,0.95
66.43,965.592,2.03
154.13,1022.96,2.15
91.84,1073.01,2.25
151.17,1217.74,2.56
90.04,596.282,1.25
51.55,1100.09,2.31
66.43,1167.55,2.45
154.13,725.767,1.53
91.84,435.19,0.91
151.17,1308.53,2.75
90.04,43.8014,0.09
51.55,46.0444,0.1
66.43,973.914,2.05
154.13,580.295,1.22
91.84,767.113,1.61
151.17,683.493,1.44
90.04,1027.16,2.16
51.55,1179.37,2.48
66.43,336.237,0.71
154.13,583.503,1.23
91.84,1102.61,2.32
151.17,527.89,1.11
90.04,1601.08,3.36
51.55,1295.71,2.72
66.43,467.033,0.98
154.13,638.738,1.34
91.84,1065.75,2.24
151.17,473.009,0.99
90.04,918.774,1.93
51.55,65.6749,0.14
66.43,603.994,1.27
154.13,744.841,1.57
91.84,387.695,0.81
151.17,406.761,0.85
90.04,1303.22,2.74
51.55,291.957,0.61
66.43,622.874,1.31
154.13,949.836,2.0
91.84,219.148,0.46
151.17,794.725,1.67
90.04,567.815,1.19
51.55,859.517,1.81
66.43,1573.91,3.31
154.13,156.257,0.33
91.84,1127.92,2.37
