User,Throughput,Percentage
151.17,2.0050528,0.36
90.04,2.04336,0.37
51.55,1.00989867,0.18
66.43,26.05557,4.73
154.13,1.0111,0.18
91.84,2.014016,0.37
151.17,2.071008,0.38
90.04,44.0544,8.0
51.55,1.03258,0.19
66.43,2.055307,0.37
154.13,10.02332,1.82
91.84,2.01504,0.37
151.17,0.013,0.0
90.04,0.0154,0.0
51.55,0.0263,0.0
66.43,0.0358,0.01
154.13,0.0458,0.01
91.84,1.19808,0.22
151.17,0.0,0.0
90.04,0.0,0.0
51.55,0.0,0.0
66.43,0.8192,0.15
154.13,0.0,0.0
91.84,0.0112267,0.0
151.17,1.53259,0.28
90.04,62.7883,11.41
51.55,0.0,0.0
66.43,0.0,0.0
154.13,0.0,0.0
91.84,9.57099,1.74
151.17,10.2315,1.86
90.04,0.0,0.0
51.55,1.4848,0.27
66.43,0.00173333,0.0
154.13,0.0,0.0
91.84,0.0,0.0
151.17,10.2349,1.86
90.04,0.0,0.0
51.55,49.2715,8.95
66.43,0.0,0.0
154.13,0.0,0.0
91.84,0.0,0.0
151.17,10.2349,1.86
90.04,15.5648,2.83
51.55,102.349,18.59
66.43,4.26667,0.78
154.13,10.2349,1.86
91.84,10.2366,1.86
151.17,4.64213,0.84
90.04,4.48853,0.82
51.55,5.3248,0.97
66.43,102.349,18.59
154.13,10.2349,1.86
91.84,10.2349,1.86
151.17,9.83381,1.79
90.04,1.62133,0.29
51.55,1.4848,0.27
66.43,1.60427,0.29
154.13,1.51381,0.27
91.84,1.5872,0.29
